state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
Georgia,2020-04-14T23:33:31Z,33.0406,-83.6431,14578,525,NA,14053,13,143.7758651,61795,2769,3.601317053,609.4546291,18.99437509,2020-04-14,Apr,14,GA
Hawaii,2020-04-14T23:33:31Z,21.0943,-157.4983,511,9,315,502,15,36.09302536,19420,44,1.761252446,1371.676228,8.610567515,2020-04-14,Apr,14,HI
Idaho,2020-04-14T23:33:31Z,44.2405,-114.4788,1464,33,NA,1431,16,90.90361547,15114,135,2.254098361,938.468063,9.221311475,2020-04-14,Apr,14,ID
Illinois,2020-04-14T23:33:31Z,40.3495,-88.9861,23248,868,NA,22380,17,198.0972,110616,4283,3.733654508,942.5636562,18.42309016,2020-04-14,Apr,14,IL
Indiana,2020-04-14T23:33:31Z,39.8494,-86.2583,8527,387,NA,8140,18,130.3026867,46017,NA,4.538524686,703.19441,NA,2020-04-14,Apr,14,IN
Iowa,2020-04-14T23:33:31Z,42.0115,-93.2105,1899,49,741,1850,19,72.46119663,18885,163,2.580305424,720.605423,8.583464982,2020-04-14,Apr,14,IA
Kansas,2020-04-14T23:33:31Z,38.5266,-96.7265,1441,69,NA,1372,20,59.09399595,14147,327,4.78834143,580.1545876,22.6925746,2020-04-14,Apr,14,KS
Kentucky,2020-04-14T23:33:31Z,37.6681,-84.6701,2048,106,629,1942,21,59.82526233,26683,673,5.17578125,779.4518919,32.86132813,2020-04-14,Apr,14,KY
Louisiana,2020-04-14T23:33:31Z,31.1695,-91.8678,21518,1013,NA,20505,22,468.0607996,118422,1977,4.707686588,2575.922298,9.187656845,2020-04-14,Apr,14,LA
Maine,2020-04-14T23:33:31Z,44.6939,-69.3819,735,20,292,715,23,62.60615363,12342,124,2.721088435,1051.27231,16.8707483,2020-04-14,Apr,14,ME
Maryland,2020-04-14T23:33:31Z,39.0639,-76.8021,9472,302,607,9170,24,159.371801,53733,2122,3.18834459,904.0883612,22.4028716,2020-04-14,Apr,14,MD
Massachusetts,2020-04-14T23:33:31Z,42.2302,-71.5301,28164,844,NA,27320,25,410.3283151,126551,2340,2.996733419,1843.752968,8.308478909,2020-04-14,Apr,14,MA
Michigan,2020-04-14T23:33:31Z,43.3266,-84.5361,27001,1768,452,25233,26,338.8994885,86226,3910,6.547905633,1082.254261,14.48094515,2020-04-14,Apr,14,MI
Minnesota,2020-04-14T23:33:31Z,45.6945,-93.9002,1695,79,909,1616,27,34.26702728,39241,405,4.660766962,793.3170604,23.89380531,2020-04-14,Apr,14,MN
Mississippi,2020-04-14T23:33:31Z,32.7416,-89.6787,3087,111,NA,2976,28,106.6245373,37878,596,3.595724004,1308.300687,19.30677033,2020-04-14,Apr,14,MS
Missouri,2020-04-14T23:33:31Z,38.4561,-92.2884,4746,149,NA,4597,29,80.99728029,47978,1041,3.139485883,818.8132141,21.93426043,2020-04-14,Apr,14,MO
Montana,2020-04-14T23:33:31Z,46.9219,-110.4544,399,7,197,392,30,46.07459465,9234,50,1.754385965,1066.297762,12.53132832,2020-04-14,Apr,14,MT
Nebraska,2020-04-14T23:33:31Z,41.1254,-98.2681,897,20,NA,877,31,58.80918289,11357,NA,2.229654404,744.5885062,NA,2020-04-14,Apr,14,NE
Nevada,2020-04-14T23:33:31Z,38.3135,-117.0554,3134,126,NA,3008,32,103.8884581,26661,NA,4.020421187,883.7811686,NA,2020-04-14,Apr,14,NV
New Hampshire,2020-04-14T23:33:31Z,43.4525,-71.5639,922,25,249,897,33,69.41997428,11610,152,2.711496746,874.1495677,16.48590022,2020-04-14,Apr,14,NH
New Jersey,2020-04-14T23:33:31Z,40.2989,-74.521,68824,2805,NA,66019,34,774.8539493,139774,8185,4.075613158,1573.643437,11.89265373,2020-04-14,Apr,14,NJ
New Mexico,2020-04-14T23:33:31Z,34.8405,-106.2485,1345,31,304,1314,35,80.65807393,31970,181,2.304832714,1917.203438,13.45724907,2020-04-14,Apr,14,NM
New York,2020-04-14T23:33:31Z,42.1657,-74.9481,203020,10842,23887,192178,36,1204.078637,499143,46201,5.340360556,2960.336041,22.75687124,2020-04-14,Apr,14,NY
North Carolina,2020-04-14T23:33:31Z,35.6301,-79.8064,5113,112,NA,5001,37,51.55338215,65039,418,2.190494817,655.7755568,8.175239585,2020-04-14,Apr,14,NC
North Dakota,2020-04-14T23:33:31Z,47.5289,-99.784,341,8,138,333,38,56.23184008,10916,42,2.346041056,1800.078494,12.31671554,2020-04-14,Apr,14,ND
Ohio,2020-04-14T23:33:31Z,40.3888,-82.7649,7285,324,NA,6961,39,65.19680755,67874,2156,4.447494852,607.4355684,29.59505834,2020-04-14,Apr,14,OH
Oklahoma,2020-04-14T23:33:31Z,35.5653,-96.9289,2184,108,1060,2076,40,59.71073104,28269,488,4.945054945,772.8766738,22.34432234,2020-04-14,Apr,14,OK
Oregon,2020-04-14T23:33:31Z,44.572,-122.0709,1633,55,NA,1578,41,40.75292845,32363,381,3.368034293,807.6466769,23.3312921,2020-04-14,Apr,14,OR
Pennsylvania,2020-04-14T23:33:31Z,40.5908,-77.2098,25465,691,NA,24774,42,202.3039211,133631,2317,2.713528372,1061.616936,9.098763008,2020-04-14,Apr,14,PA
Rhode Island,2020-04-14T23:33:31Z,41.6809,-71.5118,3251,80,135,3171,44,306.8831116,22900,331,2.460781298,2161.680485,10.18148262,2020-04-14,Apr,14,RI
